"","sk_caracterizacao_turismo_informal","Ano","massa_salarial","Número de ocupações","Gênero","Idade","Remuneração","Instrução","Horas Trabalhadas/Semana","Contribuição à Previdência Social","co_regiao_geografica","Região","Atividade Característica do Turismo"
"29",7443,2013,39645.1359,61.6776763,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"30",9629,2014,29454.50285,7.3636257,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"31",9279,2012,50849.17552,82.743144,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"32",8015,2012,109962.9771,77.3103275,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"33",7726,2013,NA,2.7699356,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"34",8882,2012,580.705395,3.2025564,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"35",8074,2012,36473.39309,7.5967616,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",18,"Norte","Cultura e Lazer"
"36",8741,2014,9218.732599,32.7984822,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"37",7589,2015,372438.3099,669.7815244,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"38",8049,2013,35065.41096,3.6663931,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"39",9023,2015,122297.6372,74.6552893,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"40",7532,2014,17045.04137,12.6200864,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"41",8062,2012,99638.48654,87.6524074,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"42",8194,2012,782.68988,1.683204,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"43",7276,2014,2041.383203,2.9162617,"Masculino","Até 24 anos","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"44",8070,2014,358689.8267,262.6661186,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"45",7678,2013,10330.14798,29.2547144,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"46",9289,2014,118178.2721,122.7176837,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"47",7958,2014,30254.36527,26.4174381,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"48",8887,2013,381.604181,1.2720139,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"49",7919,2013,222304.8028,125.1731228,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"50",7839,2014,1444.440145,2.1304427,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"51",7427,2014,4719.279816,12.5556418,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"52",8233,2012,2141.687372,17.3946422,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"53",8287,2015,18489.1188,43.7605267,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"54",8483,2012,80847.63405,7.6447067,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"55",8386,2014,57645.85186,37.2647559,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"56",9522,2014,9165.080213,19.2873113,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"57",8974,2012,1392.739628,4.5133701,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"58",7596,2013,NA,1.3196294,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"59",8720,2013,19371.28361,25.5997552,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"60",9668,2013,107441.54,25.2157357,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Contribuinte",39,"Sudeste","Cultura e Lazer"
"61",9447,2013,3180.034845,1.2720139,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",18,"Norte","Cultura e Lazer"
"62",9507,2014,33485.60121,8.3714003,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"63",9399,2014,1320.123575,1.9470849,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",18,"Norte","Cultura e Lazer"
"64",7844,2015,165689.035,52.563418,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"65",7829,2015,55316.50391,30.1726385,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"66",8493,2012,9600.221287,2.7110012,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",18,"Norte","Cultura e Lazer"
"67",9472,2013,NA,4.8582379,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"68",9406,2012,4825.649361,7.7582787,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"69",7462,2014,3691.603157,6.8715508,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",18,"Norte","Cultura e Lazer"
"70",7441,2013,9506.1955,11.5501586,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"71",7505,2013,138683.5452,193.9685328,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"72",7314,2015,5101.576579,11.3368368,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"73",7387,2013,38527.93964,62.4234282,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"74",7564,2013,15764.66225,11.8654452,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"75",8479,2012,7816.531453,11.8271151,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"76",8578,2015,1133.683684,11.3368368,"Feminino","Até 24 anos","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"77",8431,2012,6209.230951,6.6223948,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"78",8763,2012,735.821645,3.6791082,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"79",8001,2012,46642.59355,56.1922463,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"80",7648,2014,0,6.9857102,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"81",9020,2014,3181.061746,7.9526544,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"82",9115,2014,7945.503483,5.9460306,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"83",8855,2012,64484.63649,36.3618077,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"84",9083,2014,0,11.9329673,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","41 horas ou mais","Contribuinte",39,"Sudeste","Cultura e Lazer"
"85",8148,2012,39913.23653,25.4119124,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"86",9013,2015,292095.2101,250.7977577,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"87",7284,2012,2646.310861,10.150601,"Masculino","Até 24 anos","Até 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"88",9548,2012,1138.62615,8.6004358,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"89",8320,2015,27339.74882,13.6698744,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"90",7723,2012,10636.42451,10.5713043,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"91",9438,2013,1413.146265,4.8635827,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"92",9284,2013,88506.56605,102.8051273,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"93",7600,2014,0,15.2425875,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"94",7493,2013,2183.510557,2.1835106,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"95",7681,2015,20407.47195,58.6154057,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"96",7986,2014,2336.501903,1.9470849,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"97",8962,2015,25845.02412,32.3062802,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"98",9310,2013,5831.537695,6.7682025,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"99",7946,2013,196682.6935,184.8536964,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"100",8189,2014,286215.5735,66.2264148,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"101",8913,2015,7383.382552,14.7667651,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"102",7426,2013,26267.19919,30.5825559,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"103",8306,2012,NA,2.3026225,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"104",9014,2015,197296.2806,159.1355986,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"105",7709,2013,4134.487442,10.8155196,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"106",8797,2013,4588.128826,6.874022,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",45,"Sul","Cultura e Lazer"
"107",7400,2012,4363.459383,7.3990936,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"108",7525,2013,3493.27678,5.5778151,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",18,"Norte","Cultura e Lazer"
"109",9352,2013,11280.73818,4.5122953,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"110",7373,2012,5708.742915,3.8058286,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"111",8188,2014,14415.41346,4.1299155,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Não contribuinte",18,"Norte","Cultura e Lazer"
"112",9188,2014,1053.591225,1.6938766,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"113",9022,2015,46767.20333,5.8459004,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",18,"Norte","Cultura e Lazer"
"114",7795,2015,17770.89,18.7062,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",45,"Sul","Cultura e Lazer"
"115",9478,2015,NA,13.6698744,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"116",9295,2012,34031.63291,32.6026299,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",45,"Sul","Cultura e Lazer"
"117",9148,2014,23926.52046,7.9755068,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"118",8104,2012,4334.6228,1.4448743,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"119",7879,2013,51401.9553,22.7465781,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","Até 20 horas","Contribuinte",45,"Sul","Cultura e Lazer"
"120",7485,2014,13440.97168,15.7163805,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"121",8856,2012,2394.884969,3.8502974,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"122",9010,2014,0,11.9215153,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"123",7759,2012,1389.670932,2.9885396,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",39,"Sudeste","Cultura e Lazer"
"124",7969,2014,9101.094018,7.6137132,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"125",9561,2014,2063.576693,5.8959334,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"126",7827,2015,241052.272,58.4378126,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"127",9661,2014,17093.63639,7.7698347,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"128",8044,2012,44630.22967,8.0585255,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"129",7325,2014,23167.81895,32.6104534,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"130",9315,2014,5363.651417,6.5659545,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"131",8528,2012,41105.4623,14.2495955,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
"132",8286,2015,17633.53568,5.5104799,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"133",8712,2014,5890.900569,7.3636257,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"134",8105,2012,65825.37798,21.9642761,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"135",8947,2013,2599.463015,5.198926,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"136",7279,2015,131117.3724,104.7459417,"Masculino","Até 24 anos","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"137",8527,2012,44296.46302,3.1640331,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"138",8385,2014,124077.222,133.5497474,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"139",8730,2012,13411.02398,34.6817269,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"140",8109,2013,80732.48293,26.9384028,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"141",7417,2012,4534.633617,15.2233144,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"142",9056,2015,387579.0357,191.2689858,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"143",8972,2015,63046.64428,42.4081674,"Feminino","25 a 49 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Contribuinte",39,"Sudeste","Cultura e Lazer"
